pedido_id,cnpj_fornecedor,fornecedor,valor_pedido,data_pedido,status,centro_custo,responsavel,saldo_disponivel
PO-2026-0421,12.345.678/0001-90,NovaCore Tecnologia Ltda,1750,2026-08-25,ABERTO,TI,Mariana Lima,1750
PO-2026-0422,23.456.789/0001-01,Atlas Cloud Serviços,2500,2026-08-25,ABERTO,TI,Mariana Lima,2500
PO-2026-0423,34.567.890/0001-12,Lumina Sistemas,3250,2026-08-25,ABERTO,TI,Mariana Lima,3250
PO-2026-0424,45.678.901/0001-23,Vertex Consulting,4000,2026-08-25,ABERTO,TI,Mariana Lima,4000
PO-2026-0425,12.345.678/0001-90,NovaCore Tecnologia Ltda,4750,2026-08-25,ABERTO,TI,Mariana Lima,4750
PO-2026-0426,23.456.789/0001-01,Atlas Cloud Serviços,5500,2026-08-25,ABERTO,TI,Mariana Lima,5500
PO-2026-0427,34.567.890/0001-12,Lumina Sistemas,6250,2026-08-25,ABERTO,TI,Mariana Lima,6250
PO-2026-0428,45.678.901/0001-23,Vertex Consulting,7000,2026-08-25,ABERTO,TI,Mariana Lima,7000
PO-2026-0429,12.345.678/0001-90,NovaCore Tecnologia Ltda,7750,2026-08-25,ABERTO,TI,Mariana Lima,7750
PO-2026-0430,23.456.789/0001-01,Atlas Cloud Serviços,8500,2026-08-25,ABERTO,TI,Mariana Lima,8500
PO-2026-0431,34.567.890/0001-12,Lumina Sistemas,9250,2026-08-25,ABERTO,TI,Mariana Lima,9250
PO-2026-0432,45.678.901/0001-23,Vertex Consulting,10000,2026-08-25,ABERTO,TI,Mariana Lima,10000
PO-2026-0433,12.345.678/0001-90,NovaCore Tecnologia Ltda,10750,2026-08-25,ABERTO,TI,Mariana Lima,10750
PO-2026-0434,23.456.789/0001-01,Atlas Cloud Serviços,11500,2026-08-25,ABERTO,TI,Mariana Lima,11500
PO-2026-0435,34.567.890/0001-12,Lumina Sistemas,12250,2026-08-25,ABERTO,TI,Mariana Lima,12250
PO-2026-0436,45.678.901/0001-23,Vertex Consulting,13000,2026-08-25,ABERTO,TI,Mariana Lima,13000
