numero_fatura,cnpj_fornecedor,nome_fornecedor,numero_pedido,valor_fatura,data_emissao,data_vencimento,cenario
FAT-2026-00192,12.345.678/0001-90,NovaCore Tecnologia Ltda,PO-2026-0421,1750,2026-09-01,2026-09-30,APROVADA
FAT-2026-00193,23.456.789/0001-01,Atlas Cloud Serviços,PO-2026-0422,2500,2026-09-01,2026-09-30,APROVADA
FAT-2026-00194,34.567.890/0001-12,Lumina Sistemas,PO-2026-0423,3250,2026-09-01,2026-09-30,APROVADA
FAT-2026-00195,45.678.901/0001-23,Vertex Consulting,PO-2026-0424,4000,2026-09-01,2026-09-30,APROVADA
FAT-2026-00196,12.345.678/0001-90,NovaCore Tecnologia Ltda,PO-2026-0425,4750,2026-09-01,2026-09-30,APROVADA
FAT-2026-00197,23.456.789/0001-01,Atlas Cloud Serviços,PO-2026-0426,5500,2026-09-01,2026-09-30,APROVADA
FAT-2026-00198,34.567.890/0001-12,Lumina Sistemas,PO-2026-0427,6250,2026-09-01,2026-09-30,APROVADA
FAT-2026-00199,45.678.901/0001-23,Vertex Consulting,PO-2026-0428,7000,2026-09-01,2026-09-30,APROVADA
FAT-2026-00200,12.345.678/0001-90,NovaCore Tecnologia Ltda,PO-2026-0429,7750,2026-09-01,2026-09-30,APROVADA
FAT-2026-00201,23.456.789/0001-01,Atlas Cloud Serviços,PO-2026-0430,8500,2026-09-01,2026-09-30,APROVADA
FAT-2026-00192,12.345.678/0001-90,NovaCore Tecnologia Ltda,PO-2026-0421,1750,2026-09-01,2026-09-30,FATURA_DUPLICADA
FAT-2026-00193,23.456.789/0001-01,Atlas Cloud Serviços,PO-2026-0422,2500,2026-09-01,2026-09-30,FATURA_DUPLICADA
FAT-2026-00204,12.345.678/0001-90,NovaCore Tecnologia Ltda,PO-2026-9999,5000,2026-09-01,2026-09-30,PEDIDO_NAO_ENCONTRADO
FAT-2026-00205,12.345.678/0001-90,NovaCore Tecnologia Ltda,PO-2026-9998,6000,2026-09-01,2026-09-30,PEDIDO_NAO_ENCONTRADO
FAT-2026-00206,34.567.890/0001-12,Lumina Sistemas,PO-2026-0431,9350,2026-09-01,2026-09-30,DIVERGENCIA_VALOR
FAT-2026-00207,34.567.890/0001-12,Lumina Sistemas,PO-2026-0431,9500,2026-09-01,2026-09-30,DIVERGENCIA_VALOR
FAT-2026-00208,56.789.012/0001-34,Orion Facilities,PO-2026-0433,10750,2026-09-01,2026-09-30,FORNECEDOR_BLOQUEADO
FAT-2026-00209,99.999.999/0001-99,Atlas Cloud Serviços,PO-2026-0434,11500,2026-09-01,2026-09-30,CNPJ_DIVERGENTE
FAT-2026-00210,,NovaCore Tecnologia Ltda,PO-2026-0435,12250,2026-09-01,2026-09-30,DADOS_INCOMPLETOS
FAT-2026-00211,,,,0,,,ERRO_TECNICO
